seqname	start	end
chr1	10537640	10537846
chr1	10672486	10672692
chr1	10691108	10691332
chr1	10698192	10698550
chr1	10721294	10721507
chr1	10735064	10735364
chr1	10776076	10776331
chr1	10791761	10791976
chr1	10865353	10865554
chr1	10905517	10905791
chr1	35184626	35184826
chr1	35893589	35893825
chr1	38029332	38029544
chr1	38095404	38095636
chr1	38162527	38162737
chr1	38336479	38336715
chr1	44249989	44250226
chr1	44524640	44524895
chr1	44536700	44536968
chr1	48647314	48647548
chr1	50540559	50540866
chr1	50570105	50570333
chr1	50633473	50633808
chr1	50700362	50700596
chr1	62903975	62904186
chr1	62904209	62904498
chr1	70231030	70231384
chr1	87356700	87356918
chr1	87563317	87563559
chr1	88462335	88462587
chr1	96806181	96806492
chr1	96814616	96814823
chr1	97536726	97536930
chr1	108697806	108698069
chr1	114737432	114737633
chr1	163970718	163970941
chr1	164054298	164054653
chr1	164668725	164668971
chr1	213425424	213425639
chr1	215715690	215715955
chr1	243732733	243732989
chr1	244054405	244054634
chr1	244853384	244853586
chr1	244854301	244854517
chr2	7634520	7634746
chr2	20278572	20278869
chr2	33588342	33588548
chr2	38749159	38749380
chr2	57745424	57745630
chr2	58881051	58881324
chr2	58906176	58906407
chr2	58972268	58972476
chr2	59519443	59519682
chr2	59720696	59720897
chr2	59912105	59912350
chr2	60070828	60071030
chr2	60071248	60071467
chr2	60214425	60214641
chr2	60460438	60460763
chr2	60553547	60553780
chr2	61525366	61525643
chr2	62966956	62967200
chr2	66071457	66071668
chr2	72947874	72948120
chr2	104120268	104120484
chr2	143157153	143157407
chr2	143354541	143354841
chr2	143679770	143680006
chr2	143955289	143955536
chr2	143957405	143957811
chr2	144004746	144004946
chr2	144068396	144068933
chr2	144388283	144388518
chr2	144403566	144403900
chr2	144428198	144428493
chr2	144430787	144431034
chr2	144439610	144439904
chr2	144443285	144443578
chr2	146376497	146376707
chr2	155870587	155870796
chr2	156135115	156135410
chr2	156338194	156338402
chr2	156694902	156695149
